addressId,userId,street,ward,district,city
1,1,Vo Van Tan,Ward3,District1,HCM
2,1,Vo Van Tan,Ward5,District10,HCM
3,2,Nguyen Hue,Ward3,District1,HCM
4,2,Vo Van Tan,Ward10,District1,HCM
5,2,Le Loi,Ward5,District10,HCM
6,3,Vo Van Tan,Ward1,District1,HCM
7,4,Nguyen Hue,Ward7,District1,HCM
8,4,Le Loi,Ward3,District3,HCM
9,5,Le Loi,Ward1,District3,HCM
10,5,Tran Hung Dao,Ward7,District3,HCM
11,6,Nguyen Hue,Ward5,District5,HCM
12,7,Le Loi,Ward1,District5,HCM
13,7,Tran Hung Dao,Ward7,District3,HCM
14,7,Vo Van Tan,Ward5,District1,HCM
15,8,CMT8,Ward7,District1,HCM
16,8,Vo Van Tan,Ward7,District10,HCM
17,8,Vo Van Tan,Ward7,District3,HCM
18,9,CMT8,Ward7,District3,HCM
19,10,Nguyen Hue,Ward3,District5,HCM
20,11,Tran Hung Dao,Ward10,District1,HCM
21,11,Vo Van Tan,Ward3,District1,HCM
22,12,CMT8,Ward3,District1,HCM
23,12,CMT8,Ward10,District3,HCM
24,13,Le Loi,Ward1,District3,HCM
25,13,Nguyen Hue,Ward1,District10,HCM
26,13,CMT8,Ward7,District3,HCM
27,14,Tran Hung Dao,Ward5,District1,HCM
28,14,CMT8,Ward5,District1,HCM
29,15,Nguyen Hue,Ward7,District10,HCM
30,16,Nguyen Hue,Ward7,District5,HCM
31,16,CMT8,Ward7,District3,HCM
32,16,Vo Van Tan,Ward5,District3,HCM
33,17,Vo Van Tan,Ward5,District10,HCM
34,18,Le Loi,Ward1,District1,HCM
35,19,Vo Van Tan,Ward10,District1,HCM
36,20,Nguyen Hue,Ward5,District5,HCM
37,20,Le Loi,Ward1,District10,HCM
38,21,Nguyen Hue,Ward7,District10,HCM
39,22,Vo Van Tan,Ward1,District5,HCM
40,22,Nguyen Hue,Ward7,District10,HCM
41,22,Tran Hung Dao,Ward5,District5,HCM
42,23,Vo Van Tan,Ward10,District5,HCM
43,23,Nguyen Hue,Ward3,District5,HCM
44,24,Tran Hung Dao,Ward1,District10,HCM
45,24,Tran Hung Dao,Ward5,District10,HCM
46,24,CMT8,Ward1,District10,HCM
47,25,Vo Van Tan,Ward7,District5,HCM
48,25,Nguyen Hue,Ward5,District3,HCM
49,26,Le Loi,Ward5,District10,HCM
50,27,CMT8,Ward10,District1,HCM
51,27,Tran Hung Dao,Ward3,District5,HCM
52,28,Vo Van Tan,Ward1,District3,HCM
53,28,Tran Hung Dao,Ward1,District10,HCM
54,29,Tran Hung Dao,Ward1,District5,HCM
55,29,Nguyen Hue,Ward10,District1,HCM
56,30,Le Loi,Ward1,District1,HCM
57,30,CMT8,Ward7,District3,HCM
58,31,CMT8,Ward10,District1,HCM
59,31,Nguyen Hue,Ward10,District1,HCM
60,32,Vo Van Tan,Ward1,District10,HCM
61,32,Vo Van Tan,Ward1,District3,HCM
62,32,Nguyen Hue,Ward3,District3,HCM
63,33,CMT8,Ward5,District3,HCM
64,33,Le Loi,Ward10,District10,HCM
65,33,Vo Van Tan,Ward10,District10,HCM
66,34,CMT8,Ward10,District5,HCM
67,34,Vo Van Tan,Ward5,District5,HCM
68,35,CMT8,Ward7,District1,HCM
69,35,Tran Hung Dao,Ward7,District5,HCM
70,35,Nguyen Hue,Ward7,District3,HCM
71,36,Tran Hung Dao,Ward3,District3,HCM
72,36,Tran Hung Dao,Ward7,District10,HCM
73,37,Le Loi,Ward10,District10,HCM
74,37,Le Loi,Ward10,District3,HCM
75,37,Le Loi,Ward5,District10,HCM
76,38,Le Loi,Ward7,District1,HCM
77,38,CMT8,Ward7,District3,HCM
78,39,Le Loi,Ward7,District3,HCM
79,39,Nguyen Hue,Ward3,District5,HCM
80,40,Le Loi,Ward3,District10,HCM
81,40,CMT8,Ward5,District5,HCM
82,41,CMT8,Ward1,District10,HCM
83,41,CMT8,Ward7,District3,HCM
84,41,Le Loi,Ward5,District5,HCM
85,42,Tran Hung Dao,Ward1,District1,HCM
86,42,Vo Van Tan,Ward5,District5,HCM
87,43,Le Loi,Ward7,District10,HCM
88,43,Le Loi,Ward1,District1,HCM
89,43,Nguyen Hue,Ward5,District5,HCM
90,44,Nguyen Hue,Ward7,District5,HCM
